P_PrimaryAccount,P_DebitAccount
10022000956748,10041000078774
10021000956748,10110015932686
10021000956789,10100610587717
10110009527326,10100616330724
10021000956821,10110025576228
10021000956862,10110019121427
10021000960674,10110001478585
10100612286078,10110002956860
10110008766453,10041000080184
10031000962209,10110002962082
10022000957167,10041000080309
10021000957167,10041000080531
10101010831495,10041000080598
10021000957688,10041000080705
10021000957720,10110001585686
10100614121182,10100616971949
10102000831776,10110011169390
10022000958462,10042000081315
10022010958462,10041000081315
10110006435184,10100618680456
10021000958371,10041000081547
10022010958579,10042000081877
10022000958900,10041000081901
10021000959106,10041000081950
10100616941702,10041000081992
10022000959163,10110008836413
10110001675651,10042000082081
10022000959692,10041000082131
10021000959726,10041000082149
10110004998225,10100612691780
10022000960732,10041000643940
10110008471591,10341000058131
10032000716530,10342010058131
10031000716530,10110004096954
10110009198839,10110016240295
10110009198789,10042000082495
10110003287588,10042000082503
10022000960260,10041000082529
10022000960369,10100615464904
10042000931477,10041000082719
10021000960534,10041000082792
10102000833004,10041000082818
10101000833046,10042000344614
10021000960757,10110003319985
10021000960765,10100615870530
10022000960955,10100616976468
10101000833145,10042000882449
10101000910968,10110009486010
10021000961250,10100618415523
10021000961359,10110013616703
10021000961375,10042000084988
10110020042424,10041000084947
10022000961458,10100611663160
10021000961656,10042000084962
10022000961615,10041000084962
10110014526901,10110010678680
10021000961797,10110019798984
10031000931394,10041000085233
10110019392986,10041000085480
10100610920090,10041000085688
10100619416900,10041000085795
10021000961904,10110017256787
10021000974055,10031000488734
10100615192745,10041000086439
10031000481937,10041000985994
10031000510206,10041000086223
10021000962456,10041000086249
10100613298643,10042000086298
10022000962761,10142020553354
10052000020024,10041000086454
10101000834101,10041000357301
10102000834101,10041000471532
10110025886999,10110022402543
10022000963108,10042000087023
10110007389455,10041000087130
10021000963322,10042000087163
10110001491984,10110006072193
10022000963447,10100611126291
10101010834408,10042000087411
10022000963710,10041000087452
10021000963710,10042000087569
10032000027516,10042000087635
10021000964148,10110005168364
10110012820181,10042000087858
10021000964270,10100617788540
10110003918844,10100616224695
10021000964338,10041000088484
10021000964510,10042000088484
10102000835009,10041000088617
10100616905350,10042000088617
10031000069534,10110002600807
10101000835116,10110002600823
10101000835132,10100616105639
10021000965111,10041000089128
10021020965178,10110016494199
10110016184923,10041000089276
10110016685861,10042000089300
10101010835306,10042000089326
10052000058933,10041000089326
10051000058933,10041000089342
10021000965392,10041000089383
10100618405433,10042000089383
10021000965442,10041000089524
10022000978221,10110028185555
10021000965541,10042000945295
10110009424441,10042020996405
10110005759642,10042000996405
10022000965871,10042010996405
10021000965889,10042000089722
10021000966036,10041000089722
10100610378067,10041000089797
10022000966051,10041000089805
10021010966143,10110016689475
10100616306005,10041000089979
10100619445842,10110000595546
10101000835645,10041000090134
10110002165926,10042000090183
10021000966564,10100613307824
10021000966614,10110002823102
10101000835819,10041000090316
10100618433948,10110018335002
10110022300291,10041000090373
10022000967232,10110016955280
10100611431204,10041000092080
10021000967372,10041000091207
10031000935320,10110000423855
10021000967497,10041000091264
10021000967513,10041000091298
10021000969113,10041000091462
10021000969071,10042000091462
10102000836171,10042000091546
10102010836338,10041000091587
10100610654996,10041000091645
10022000968198,10100615900535
10021000968198,10110002824845
10021000968511,10110019563628
10021000986489,10110021736115
10100613545969,10110009288861
10110004135935,10041000357947
10021000968743,10041000092296
10100617981418,10041000474908
10100616152854,10041000092494
10031000361030,10110021280098
10101000837120,10042000092494
