P_Username,P_Password,P_UsernameAll
SNAYAK.ALL,Password12,SNAYAK_ALL
TEST95.ALL,Password12,TEST95_ALL
TEST96.ALL,Password12,TEST96_ALL
PERF-CSR146,Password12,PERF_CSR146_
PERF-CSR147,Password12,PERF_CSR147_
PERF-CSR440,Password12,PERF_CSR440_
PERF-CSR441,Password12,PERF_CSR441_
PERF-CSR442,Password12,PERF_CSR442_
PERF-CSR443,Password12,PERF_CSR443_
PERF-CSR359,Password12,PERF_CSR359_
PERF-CSR360,Password12,PERF_CSR360_
PERF-CSR758,Password12,PERF_CSR758_
PERF-CSR759,Password12,PERF_CSR759_
PERF-CSR760,Password12,PERF_CSR760_
PERF-CSR761,Password12,PERF_CSR761_
PERF-CSR762,Password12,PERF_CSR762_
PERF-CSR763,Password12,PERF_CSR763_
TEST277.ALL,Password12,TEST277_ALL
TEST278.ALL,Password12,TEST278_ALL
TEST337.ALL,Password12,TEST337_ALL
